"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop
China,80881,,3226.0,,68719.0,8936,3226.0,56.2
Italy,31506,"+3,526",2503.0,+345,2941.0,26062,2060.0,521.1
Iran,16169,"+1,178",988.0,+135,5389.0,9792,,192.5
Spain,11826,"+1,884",533.0,+191,1028.0,10265,563.0,252.9
Germany,9367,"+2,095",26.0,+9,67.0,9274,2.0,111.8
S. Korea,8320,+84,81.0,+6,1401.0,6838,59.0,162.3
France,7730,"+1,097",175.0,+27,602.0,6953,699.0,118.4
USA,6428,"+1,765",106.0,+20,106.0,6216,12.0,19.4
Switzerland,2742,+389,27.0,+8,15.0,2700,,316.8
UK,1950,+407,71.0,+16,65.0,1814,20.0,28.7
Netherlands,1705,+292,43.0,+19,2.0,1660,45.0,99.5
Norway,1470,+122,3.0,,1.0,1466,27.0,271.2
Austria,1332,+314,4.0,+1,8.0,1320,12.0,147.9
Belgium,1243,+185,10.0,,14.0,1219,33.0,107.3
Sweden,1196,+75,8.0,+1,1.0,1187,12.0,118.4
Denmark,977,+63,4.0,,1.0,972,18.0,168.7
Japan,878,+45,29.0,+1,144.0,705,41.0,6.9
Diamond Princess,696,,7.0,,456.0,233,15.0,
Malaysia,673,+107,2.0,+2,49.0,622,10.0,20.8
Canada,562,+121,8.0,+4,11.0,543,1.0,14.9
Australia,452,+51,5.0,,27.0,420,1.0,17.7
Portugal,448,+117,1.0,,3.0,444,18.0,43.9
Qatar,442,+3,,,4.0,438,,153.4
Czechia,434,+90,,,3.0,431,2.0,40.5
Greece,387,+35,5.0,+1,14.0,368,11.0,37.1
Israel,337,+39,,,11.0,326,5.0,38.9
Brazil,328,+94,1.0,+1,2.0,325,18.0,1.5
Finland,322,+44,,,10.0,312,2.0,58.1
Ireland,292,+69,2.0,,5.0,285,6.0,59.1
Slovenia,275,+22,1.0,,,274,4.0,132.3
Singapore,266,+23,,,114.0,152,14.0,45.5
Iceland,247,+48,,,5.0,242,1.0,
Pakistan,247,+63,,+-1,2.0,245,,1.1
Bahrain,241,+13,1.0,,88.0,152,3.0,141.6
Poland,238,+61,5.0,+1,1.0,232,3.0,6.3
Estonia,225,+20,,,1.0,224,,169.6
Romania,217,+49,,,19.0,198,5.0,11.3
Chile,201,+45,,,,201,3.0,10.5
Egypt,196,+30,6.0,+2,26.0,164,,1.9
Philippines,187,+45,12.0,,5.0,170,1.0,1.7
Thailand,177,+30,1.0,,41.0,135,1.0,2.5
Indonesia,172,+38,7.0,+2,8.0,157,,0.6
Saudi Arabia,171,+38,,,6.0,165,,4.9
Hong Kong,168,+13,4.0,,81.0,83,4.0,22.4
Iraq,154,+21,11.0,+1,41.0,102,,3.8
India,143,+14,3.0,+1,14.0,126,,0.1
Luxembourg,140,+59,1.0,,,139,1.0,
Kuwait,130,+7,,,12.0,118,4.0,30.4
Lebanon,124,+15,3.0,,4.0,117,3.0,18.2
San Marino,119,+10,11.0,+2,4.0,104,11.0,
Peru,117,+31,,,1.0,116,8.0,3.5
Russia,114,+21,,,8.0,106,,0.8
UAE,113,+15,,,26.0,87,2.0,11.4
Ecuador,111,+53,2.0,,,109,2.0,6.3
Turkey,98,+51,1.0,+1,,97,,1.2
Slovakia,97,+25,,,,97,2.0,17.8
South Africa,85,+21,,,,85,,1.4
Mexico,82,+29,,,4.0,78,1.0,0.6
Bulgaria,81,+19,2.0,,,79,,11.7
Armenia,78,+26,,,1.0,77,2.0,26.3
Taiwan,77,+10,1.0,,20.0,56,,3.2
Serbia,72,+15,,,1.0,71,4.0,8.2
Panama,69,,1.0,,,68,7.0,16.0
Croatia,69,+12,,,5.0,64,,16.8
Argentina,68,+3,2.0,,3.0,63,1.0,1.5
Vietnam,66,+5,,,16.0,50,,0.7
Colombia,65,+11,,,1.0,64,,1.3
Algeria,61,+1,5.0,+1,10.0,46,,1.4
Latvia,60,+26,,,1.0,59,,31.8
Brunei,56,+2,,,,56,1.0,
Albania,55,+4,1.0,,,54,2.0,19.1
Hungary,50,+11,1.0,,2.0,47,,5.2
Costa Rica,50,+9,,,,50,3.0,9.8
Cyprus,49,+3,,,,49,1.0,40.6
Faeroe Islands,47,+29,,,,47,,
Morocco,44,+7,2.0,+1,1.0,41,1.0,1.2
Sri Lanka,44,+16,,,1.0,43,,2.1
Palestine,41,+2,,,,41,,8.0
Jordan,40,+11,,,1.0,39,,3.9
Andorra,39,+25,,,1.0,38,,
Malta,38,+8,,,2.0,36,,
Belarus,36,,,,3.0,33,,3.8
Azerbaijan,34,+9,1.0,,6.0,27,,3.4
Georgia,34,+1,,,1.0,33,1.0,8.5
Bosnia and Herzegovina,34,+9,,,2.0,32,,10.4
Cambodia,33,+21,,,1.0,32,,2.0
Oman,33,+9,,,12.0,21,,6.5
Kazakhstan,33,+23,,,,33,,1.8
Venezuela,33,+16,,,,33,,1.2
North Macedonia,31,+7,,,1.0,30,1.0,14.9
Moldova,30,+1,,,1.0,29,1.0,7.4
Uruguay,29,,,,,29,,8.3
Senegal,27,,,,2.0,25,,1.6
Lithuania,26,+8,,,1.0,25,1.0,9.6
Tunisia,25,+1,,,1.0,24,2.0,2.1
Afghanistan,22,+1,,,1.0,21,,0.6
Dominican Republic,21,,1.0,,,20,,1.9
Liechtenstein,19,+12,,,,19,,
Martinique,15,,1.0,,,14,,
Burkina Faso,15,,,,,15,,0.7
Ukraine,14,+7,2.0,+1,,12,,0.3
Macao,13,+1,,,10.0,3,,
Maldives,13,,,,,13,,
New Zealand,12,+4,,,,12,,2.5
Bolivia,12,+1,,,,12,,1.0
Jamaica,12,,,,2.0,10,,4.1
French Guiana,11,,,,,11,,
Uzbekistan,11,+3,,,,11,,0.3
Bangladesh,10,+2,,,3.0,7,,0.1
Cameroon,10,+5,,,,10,,0.4
Monaco,9,,,,,9,,
Paraguay,9,+1,,,,9,1.0,1.3
Réunion,9,,,,,9,,
Guatemala,8,,1.0,,,7,,0.4
Honduras,8,+2,,,,8,,0.8
Guyana,7,,1.0,,,6,,
Ghana,7,+1,,,,7,,0.2
Rwanda,7,,,,,7,,0.5
Channel Islands,6,,,,,6,,
Ethiopia,6,+1,,,,6,,0.1
Guadeloupe,6,,,,,6,,
Cuba,5,+1,,,,5,,0.4
Guam,5,+2,,,,5,,
Mongolia,5,+1,,,,5,,1.5
Puerto Rico,5,,,,,5,,1.7
Trinidad and Tobago,5,+1,,,,5,,3.6
Ivory Coast,4,,,,,4,,0.2
Kenya,4,+1,,,,4,,0.1
Seychelles,4,+1,,,,4,,
Nigeria,3,+1,,,1.0,2,,
Aruba,3,+1,,,,3,,
Curaçao,3,+1,,,,3,,
DRC,3,,,,,3,,
French Polynesia,3,,,,,3,,
Gibraltar,3,,,,2.0,1,,
St. Barth,3,,,,,3,,
Barbados,2,+2,,,,2,,
